"Session","ID","Message","A","B","classification.CD","messageId","classification.HX.weak","classification.HX.weak.percent","classification.HX.strong","classification.HX.strong.percent","classification.content.weak","classification.content.weak.percent","classification.content.strong","classification.content.strong.percent"
1,12,"Hey. OK I think that the best way for both of us to make a proﬁt is for you to choose IN and for me to roll. That way we both make some money. There’s no point in me not rolling because that would give you and me less proﬁt. So I’m a roller if you’re in. :)","In","DR",1,"1_12",1,NA,1,NA,1,NA,1,NA
1,13,"take a risk","In","R",0,"1_13",0,NA,0,NA,0,NA,0,NA
1,14,"If you choose IN the ﬁrst round and then I will choose Don’t Roll at ﬁrst. I will get $14 but then after that I will choose roll each time after the 1strole. Chances are most likely you will get $12 and I will get only $10. I will the only take 7 rolls for you to get even with me. That way we both leave with a good amount of money. Hope you have a great evening and that this works out for both of us. :)","Out","R",0,"1_14",1,0.84,1,0.76,1,0.76,1,0.67
1,15,"If you choose in I’ll roll. \n Why? If you choose out, we walk out with $10 each. If you choose IN & I choose IN then both of us coin. So it’s a compro-mise. By agreeing to this I guarantee myself more $ than risking you choose out. So if you choose out I get $10 ($5 diff.) if you choose in I get $15 vs. $19 ($4 diff.). that’s why","In","R",1,"1_15",1,NA,1,NA,1,NA,1,NA
1,18,"Choose “In” so we can both make some $$ What are the chances me rolling a 1? I’ll try my best.","In","R",1,"1_18",1,NA,0,0.4,1,NA,1,NA
2,1,"I’m going to roll.","Out","R",1,"2_1",1,NA,1,NA,1,NA,1,NA
2,2,"I’ll choose roll.","In","R",1,"2_2",1,NA,1,NA,1,NA,1,NA
2,3,"I will choose roll.","In","DR",1,"2_3",1,NA,1,NA,1,NA,1,NA
2,4,"I’m going to choose roll","In","R",1,"2_4",1,NA,1,NA,1,NA,1,NA
2,5,"choose in, & I’ll roll.","In","R",1,"2_5",1,NA,1,NA,1,NA,1,NA
2,6,"You can have the 2 extra dollars. I’ll be nice and choose to roll. :)","In","R",1,"2_6",1,NA,1,NA,1,NA,1,NA
2,8,"Hey, choose in and I will roll. You have to like your odds that I will roll a 2,3,4,5, or 6. 5/6 odds ain’t bad.","In","DR",1,"2_8",1,NA,1,NA,1,NA,1,NA
2,9,"If you choose “In”, I’ll choose Roll and you’ve got a 5/6 chance of getting $12.","In","R",1,"2_9",1,NA,1,NA,1,NA,1,NA
2,10,"Stay IN, I really need the money.","In","R",0,"2_10",0,NA,0,NA,0,NA,0,NA
2,11,"If you choose IN, and I roll, the chances of our getting the most $ are very high. The likelyhood of my rolling a 1 is small compared to the chances of rolling a 2–6. So we both get cash.","Out","DR",0,"2_11",1,0.76,1,0.56,1,0.76,1,0.54
2,12,"Hi, well I’m going to Roll so you have at least a shot for more money. I hope it works out.","In","R",1,"2_12",1,NA,1,NA,1,NA,1,NA
3,1,"Hopefully I’ll make a lucky role.","Out","DR",0,"3_1",1,0.6,0,NA,0,NA,0,NA
3,2,"It’s much more likely that I’ll roll a 2–6 and thus get more money then if we don’t roll or choose out. I promise that I won’t cheat you and that I’ll choose to roll. :)","In","R",1,"3_2",1,NA,1,NA,1,NA,1,NA
3,3,"Tee hee, this is kinda Twilight Zone – ism; Why not “go for it”, eh? I hope you have a lovely evening as well.","Out","R",0,"3_3",0,NA,0,NA,0,NA,0,NA
3,4,"Hello fair stranger, anonymous partner... Choose whatever you want. Far be it from me to inﬂuence your decision, but I think you should choose “in” and I should choose “roll” and we should take the chance at both earning as much as we can. 5 chances out of 6 say it’ll work, and I’m totally broke, looking to rake in stray cash however I can. I feel the luck in the air. I don’t really have much else to say. Hope you’re doing well, whoever you are. Yes. That’s all. Random note from random human","In","R",0,"3_4",1,0.56,0,NA,1,0.52,0,NA
3,5,"Both of ‘us’ can earn.","In","DR",0,"3_5",0,NA,0,NA,0,NA,0,NA
3,6,"Ok. You’re probably thinking, lets chose out, and I’ll at least get 5 bucks. But... \n ...Chose ‘IN’, and I WILL chose to roll. \n The probability that I will roll a 2,3,4,5, or 6 is pretty high, and I think worthy of trying for. \n (I have no way of assuring you that I will roll... but, its probably worth going for, you’ll get $12 for ﬁnding out, where I could get $10.) \n x. I WILL ROLL","In","R",1,"3_6",1,NA,1,NA,1,NA,1,NA
3,7,"I will roll, so if you stay in, you’ve got a 5 /6 chance of getting $12. \n If you don’t mind the risk, if you stay in we’ll both probably get more than $5… Pretty cool to get money, eh? I’m kinda bored. Hope you’ve had a great day so far! \n My country Tis of Thee \n Sweet Land of Liberty \n Of Thee I sing. \n Land where my fathers died \n Land of the Pilgrim’s Pride \n On every mountainside \n Let freedom ring. \n\n George W . Bush wants you to go in! Bin Laden says “out”! :)","In","R",1,"3_7",1,NA,1,NA,1,NA,1,NA
3,8,"Lets together get the most $ out of this that we can: \n you 12 0 0 5 \n me 10 10 14 5 \n I promise not to do this one [points out: me 14 and you 0 values in the text]. I promise I will choose to roll. You can have the extra $2 bucks. \n It’s good karma. \n Thanks. \n I will choose ROLL in any case considering I will get the same amount no matter what you choose, as long as you choose IN. \n please excuse the awful handwriting. I’m trying","In","DR",1,"3_8",1,NA,1,NA,1,NA,1,NA
3,9,"I’m choosing ROLL, which gives you a chance to get $12 instead of $5, so stay. It’s a risk, but you could end up getting a lot more.","In","R",1,"3_9",1,NA,1,NA,1,NA,1,NA
3,10,"If you choose in then I’m going to choose roll. This gives you a 5/6 chance of getting 12 dollars. That is 7 more than if you choose out. Since the money is free anyway – why not believe me. I’m don’t lie– I promise I will choose roll.","In","R",1,"3_10",1,NA,1,NA,1,NA,1,NA
3,11,"If you choose IN you have the best opportunity to make the most money. You have a 5 /7 chance of making more money! So IN would be your best bet. Cheers.:)","In","DR",0,"3_11",1,0.64,0,NA,0,NA,0,NA
3,12,"Choose IN \n I promise I’ll ROLL.","Out","R",1,"3_12",1,NA,1,NA,1,NA,1,NA
