id,message,level,experiment,part,period,subject
2_11_4_1,red has a higher chance,1,2,4,1,11
2_11_2_2,At least that's my guess.,0,2,2,2,11
2_12_4_1,pure randomness,0,2,4,1,12
2_12_3_2,"two times the correct answer was red, now it should be blue maybe? but im not sure",0,2,3,2,12
2_12_4_2,now it should be blue i think,0,2,4,2,12
2_2_1_1,The probability of our urn being the coulour of the ball is 2/3 while the probability of the other colour is 1/3,1,2,1,1,2
2_2_4_1,There's a higher probability of the whole urn being red. Also we just need one vote for blue in order to turn the complete urn blue. So I would stick with red.,2,2,4,1,2
2_2_3_1,Higher probability.,1,2,3,1,2
2_2_4_2,There's a higher probability of the whole urn being blue.,1,2,4,2,2
2_2_2_1,Probability is higher.,1,2,2,1,2
2_2_1_2,Probability that red is the right colour is higher.,1,2,1,2,2
2_3_1_1,the chance that we recieve the wrong ball is smaller than the chance that we receive the correct ball However I think every team will think in the same way and there is no chance that the committe gets it right...,1,2,1,1,3
2_3_4_1,Statistically the chance that we receive the correct ball is higher,1,2,4,1,3
2_3_3_1,Statistically there is a higher chance that we receive the correct color,1,2,3,1,3
2_3_2_1,The chance that we observe one of the 4 correct balls is higher,1,2,2,1,3
2_3_2_2,Staistically there is a higher chance that we see the correct ball,1,2,2,2,3
2_3_3_2,The chance that we see the correct color is higher...,1,2,3,2,3
2_3_4_2,the chance that we receive the correct color is higher,1,2,4,2,3
2_3_1_2,Hm... the chance of it being the correct color is higher than it being the wrong one,1,2,1,2,3
2_4_4_2,Bigger likelyhood of observing right color and bigger likelyhood of ball having same color as urn,1,2,4,2,4
2_4_3_1,"more likely that we are a team observing the right urn, and bigger chance of same colored ball being drawn from urn",1,2,3,1,4
2_4_4_1,Bigger likelyhood that we observe the right color and bigger likelyhood of ball having same color as the urn,1,2,4,1,4
2_4_3_2,same likelyhoods as in first round,1,2,3,2,4
2_4_1_1,Blue colored urn is more likely right now because it is more likely for a blue ball to be drawn from the blue urn,1,2,1,1,4
2_4_2_1,it is more likely that we are a team oberserving a right urn and then it is more likely for the balls colored like the urn to be drawn,1,2,2,1,4
2_4_1_2,It is a red urn just because… I think it is we are the team observing the wrong urn because the other two were right when voting for red,0,2,1,2,4
2_6_1_1,No clue so far. Ask me again next time.,0,2,1,1,6
2_6_2_1,more likely 4:2,1,2,2,1,6
2_6_3_1,more likely: 66%,1,2,3,1,6
2_7_1_1,"red blue 50 50, I go blue",0,2,1,1,7
2_7_3_2,Red?,0,2,3,2,7
2_7_4_1,Chances for blue are higher I guess,1,2,4,1,7
2_7_4_2,higher chances for blue,1,2,4,2,7
2_7_2_1,I don't have a clue. Sorry,0,2,2,1,7
2_7_1_2,red blue 50 50 my gues is blue,0,2,1,2,7
2_7_2_2,I think it's time that red has to be correct for the first time :D,0,2,2,2,7
2_7_3_1,Maybe blue. I don't know. It's all about luck,0,2,3,1,7
2_8_1_2,possibilty for red ones is higher than for blue ones,1,2,1,2,8
2_8_3_2,assumiing again that is more possible that we have picked the right color,1,2,3,2,8
2_8_3_1,assuming that we have picked the right one,1,2,3,1,8
2_8_2_2,"don’t know what to pick, maybe blue again?",0,2,2,2,8
2_8_1_1,trying to stay with our color,1,2,1,1,8
2_8_2_1,it is more likely as there are two blue balls and one red ball in the urn,1,2,2,1,8
2_9_1_2,"If other teams picked a blue ball, they will vote for it. But if the urne is red, we can only win, if we chose red",2,2,1,2,9
2_9_4_2,"If red is right, we have to vote for it in order to win. If blue is right, at least one of the teams will for it, so we win as well vote*",2,2,4,2,9
2_9_1_1,"Lets vote for red, because if other teams picked a blue ball, they will vote for blue and blue will be chosen as right decision anyway. But in case, the right color of the urn is red, then the only way to pick it up is to vote for red",2,2,1,1,9
2_9_3_2,"If the right color is red, we have to vote for it to pick it up. If it is blue, then the second team will vote for it",2,2,3,2,9
2_9_2_1,"Lets pick up the red urne to make sure it will be chosen if it is the right one. If not, at least one of the 4 teams will vote for blue",2,2,2,1,9
3_1_1_1,"Even if we have a blue urne the possibility of another team voting for blue is high, so blue is more likely to be picked. If we do have a red urne however and are the only team that had the blue ball, we'll mess up our chances to earn more simply by voting for blue. Please vote red.",2,3,1,1,1
3_1_3_1,"Red is just as likely as blue By voting blue we could risk the situation of hyving a red urne and two votes pro red - and ours blue So that we'd be stuck with blue If this is blue, chances are, the other team observing blue will vote blue So, strategically speaking, voting red here is the smarter decision",2,3,3,1,1
3_1_2_1,"Making a decision for blue is way riskier than choosing red because of how the votes are counted If it really is blue, three other teams will have a blue ball and the chance that one of those teams votes blue is really high - blue would be chosen as our commitees pick If it is red however, us voting blue would make our commitees vote blue and therefore wrong",2,3,2,1,1
3_1_4_1,Higher chance to have the red urn. However I think every team will think in the same way and there is no chance that the committe gets it right... Red is less risky.,2,3,4,1,1
3_1_4_2,"Red needs to voted by all If we witness a red ball, we should definitely vote red, as well It is safer to vote red and better for the other teams.",2,3,4,2,1
3_1_2_2,Picking red when picking a red ball is the only logical thing to do Because voting blue will automatically turn the commitees choice to blue Red is safe to vote for the commite. Someone may vote blue.,2,3,2,2,1
3_1_1_2,"Blue is \qdominant\q - if only one team chooses blue, it will make our commitees decision blue So choosing red when you see a red ball is the only logic consequence Choosing blue whilst seeing a red ball is simply a stupid strategy",2,3,1,2,1
3_1_3_2,"Because of the voting rules, red is much more unlikely to be made the choice but just as likely as blue to be picked Voting blue while picking a red ball makes no sense",2,3,3,2,1
3_10_3_1,without replacement has nothing changed with the fact that if you see red you should vote for red,1,3,3,1,10
3_10_4_2,only rational decision is to go with red,1,3,4,2,10
3_10_4_1,higher chances with red,1,3,4,1,10
3_10_2_2,Red will give us the highest chance to win. Dont get influenced by part 1 the round,1,3,2,2,10
3_10_2_1,"Based on our information, there is a higher chance that it is a red urne. Red is the only rational decision that gives us the highest chance",1,3,2,1,10
3_10_1_2,again based on our information there is a higher chance that it is a red urn,1,3,1,2,10
3_10_3_2,There is a higher chance with blue! Don't get influenced by the first part of Round III.,1,3,3,2,10
3_10_1_1,there is a 66% chance that it is a red urn,1,3,1,1,10
3_11_2_2,The chance for a blue unre are 4/6 or 2/3. We should take blue,1,3,2,2,11
3_11_2_1,The chance to get a red urne is 4/6 or 2/3. We should vote for red.,1,3,2,1,11
3_11_3_2,Blue has a higher chance.,1,3,3,2,11
3_11_4_2,who the heck voted for blue the last round.... Red is the only logical decision here too!,1,3,4,2,11
3_11_4_1,"The chance for a red urne is higher. It isn't logical to base our decision on the choices of the other groups. Therefore, red.",1,3,4,1,11
3_11_3_1,"Still, the chance is higher to get a red urne.",1,3,3,1,11
3_11_1_1,"The chance in a blue in is higher to get a blue ball. Therefore, I would suggest to vote for the blue urn.",1,3,1,1,11
3_11_1_2,"The chance of a red urne are 2/3. As we want to maximize our chance, we should vote for red.",1,3,1,2,11
3_12_4_1,If we choose blue it is less risky,1,3,4,1,12
3_12_3_2,"1/3 of all tems is observing wrong color, so lets stick with our ball color.",1,3,3,2,12
3_12_1_2,2 out of 3 possibility that it is red,1,3,1,2,12
3_3_1_2,"Again the chance of picking a red ball in a red urn is 2 to 3. Therefore, the urn is red.",1,3,1,2,3
3_3_2_2,"Red has  2/3 chance. That is why I say that the urn's color is red, too.",1,3,2,2,3
3_3_1_1,It is blue because we have a 2/3 chance of picking the right color. So I reason that the urn is blue.,1,3,1,1,3
3_3_3_1,Blue has a 2/3 chance.,1,3,3,1,3
3_3_4_2,Red still has a higher chance of winning. So I suggest the urn is red.,1,3,4,2,3
3_4_2_2,Blue has a 2/3 chance,1,3,2,2,4
3_4_4_2,"If 6 balls are drawn (1 for each team), it is likely, that one or more teams get a blue ball although the urn color is red (so that blue is less likely). As unanimity is required to decide for red, I would vote for red because in case most teams get a blue ball, one team will probably vote for blue, so that the decision is blue.",2,3,4,2,4
3_4_2_1,Blue has a 2/3 chance.,1,3,2,1,4
3_4_1_1,I think blue has a 2/3 chance,1,3,1,1,4
3_4_1_2,Red has a 2/3 chance.,1,3,1,2,4
3_5_2_1,"We have blue, more likely to get the bleu urn. Let's vote blue!",1,3,2,1,5
3_7_2_1,Take red. Higher chance.,1,3,2,1,7
3_7_2_2,Red. The chance of oberserving the correct colour is bettet,1,3,2,2,7
3_8_2_2,it is more likely to draw a red ball from the red urn. So the decision is red.,1,3,2,2,8
3_8_1_1,"In the red urn there are 2 red balls and 1 blue ball whereas in the blue urn there are 2 blue balls and 1 red ball. Thus, it seems more likely that it is a red urn.",1,3,1,1,8
3_8_3_2,"We should vote for red because for this colour unanimity is required. If the urn colour is red, 2 teams got a red ball and 1 team a blue ball. However, all 3 must decide for red to go trough. If the urn colour is blue, we are the only team with a red ball so that we can assume that at least one of the two teams with blue balls votes for blue. As for blue no  unanimity is requried,  the blue vote will go through.",2,3,3,2,8
3_8_4_2,"We should vote for red as for this colour unanimity is required. If the urn colour is red, 4 teams will receive a red ball and 2 teams a blue ball. All teams must vote red to go thorugh. However, if the urn colour is blue, 4 teams got a blue ball and two teams got a red ball. However, one blue vote is enough for the decision to go through.",2,3,4,2,8
3_8_1_2,"Even if we're observing the wrong color, it doesn't matter, because there's a chance of 2/3 that the other teams are observing the right one and will chose the right one",2,3,1,2,8
3_8_2_1,It is more likely to draw a blue ball from the blue urn. So the decision is blue.,1,3,2,1,8
3_8_4_1,"We should vote for red because for this colour unanimity is required. If the colour of the urn is red, 4 teams got a red ball and 2 teams got a blue ball. For the decision to go through all teams must vote for red. If the colour of the urn is blue, 4 teams got a blue ball and 2 teams got a red ball. For blue to go through it is enough that one teams votes for blue. As 4 teams got a blue ball in this case it is very likely that at least one of them votes for blue and thus decides the vote",2,3,4,1,8
3_8_3_1,"We should vote for red because for this color unanimity is required. if the urn is red, the other teams both got a red ball and we got the blue ball, so that we need to vote for red If the color of the urn is blue, we and another team got a blue ball and one team got a red ball. As for blue no unanimity is required, we can expect the other blue ball team to choose blue, so that the overall decision will be blue.",2,3,3,1,8
3_9_4_2,we need to stick with red no matter what actual color is. its only logical to choose red based on the voting rule,2,3,4,2,9
3_9_4_1,we should stick with red no matter what color actually is right. if its blue at lease one other team will pick blue and we all win,2,3,4,1,9
3_9_1_1,"there is a 2/3 chance that red ball is the correct one. if its actuall red, one other team should receive the red as well and they probably will choose red. even if its blue, i guess the team receive blue will choose blue and the final vote will be blue",2,3,1,1,9
3_9_3_1,"only by choosing red we all have a bigger chance to win. if the result is blue, at least one team might choose blue and we will win. but if it turned out to be red, we just have to hope that the one team who got the blue ball stick with choosing red. no matter what color we get, we all should choose red. its the only logical choice to make",2,3,3,1,9
3_9_3_2,"we should choose red no matter what color we got. its the only logical choice to make because if the result is red, we are the onlv team who got the wrong color and our decision is critical. if its blue, one other team should also got blue color and might stick with blue if they dont think in our way, and we will still win. stick with red have a bigger chance to win either way",2,3,3,2,9
3_9_1_2,"we should choose red. because if its actually red, the other 2 team will choose red and we all win. if its actually blue, the other team who got blue ball will probably choose blue. and based on the rule the final vote will be blue. we win again",2,3,1,2,9
3_9_2_2,"lets vote for red. if its blue, at least one other team will pick blue and we will win. if its red, we just have to pray that other teams all pick red...",2,3,2,2,9
3_9_2_1,"based on the rule we better pick red because if its actually red, we have a bigger chance win. even if its blue, 3 other teams who got blue balls might choose blue, and we just need one team to vote for blue to win.",2,3,2,1,9
4_1_1_1,"I guess the blue urn makes more sense, as there are twice as many blue balls in it than in the red urn.",1,4,1,1,1
4_1_2_2,Double chance to get a red ball if we choose the red urn,1,4,2,2,1
4_1_1_2,"We have a red ball. So it would be reasonable to choose the red urn. However, the chance that all five groups chose red is pretty low, so I'm not sure",1,4,1,2,1
4_1_3_1,chances to get red are higher,1,4,3,1,1
4_1_2_1,Double chance to get a blue ball if we choose the blue urn,1,4,2,1,1
4_10_3_2,please lets pick red !!!! cause if its blue to other teams will pick blue,2,4,3,2,10
4_10_1_1,our probability to have a blue urn is 66% so I would go for blue ....,1,4,1,1,10
4_10_3_1,got the red ball therefore I would pick red cause if anyone picks blue it will be blue,2,4,3,1,10
4_11_1_1,Let's try red although it's very likely that someone chooses blue.,2,4,1,1,11
4_11_3_1,I'd say \qalways choose red\q but maybe we should choose blue since everbody thinks \qalways choose red\q and it's 2/3 that we win.,3,4,3,1,11
4_11_2_1,Always red is the way to go.,0,4,2,1,11
4_11_2_2,Always red.,0,4,2,2,11
4_11_4_2,red for sure. It's likely one of the others get blue then they vote blue anyway,2,4,4,2,11
4_11_3_2,Seems like we should choose blue since it's 2/3.,1,4,3,2,11
4_11_4_1,In this case I'd choose red. It's very likely that at least some of the other three teams choose blue so we should keep the chance to win if it's red.,2,4,4,1,11
4_12_2_2,Lets see...,0,4,2,2,12
4_12_3_1,higher probability of blue,1,4,3,1,12
4_12_1_1,Our team has a blue ball :D So when we have at least two blue balls the other picks blue ball so we double our chance with the red ball;),2,4,1,1,12
4_12_3_2,higher probability of red this time,1,4,3,2,12
4_12_2_1,Good luck :D Red ;),0,4,2,1,12
4_12_1_2,Same argument but now we have double chance with the red ball ;),2,4,1,2,12
4_12_4_1,Lets stick to the 2 out of 3 chance that it is really red,1,4,4,1,12
4_2_4_2,we should pick red ( the oposite) to reach a consensus becaus eeveryone will think his decision is right,2,4,4,2,2
4_2_2_2,double chance for red but it is really difficult to earn the 2 euros... but we should pick red,1,4,2,2,2
4_2_1_2,We should choose red because the possibilty to observe the right ball is 2/3. Nevertheless we should reach a consensus with the other member to gain 2 euros,1,4,1,2,2
4_2_4_1,we should choose the opposite to get the chnace to reach a consensus and gain 2 euros everyone will think his chose is right so we should pick red,2,4,4,1,2
4_2_2_1,the possibility is 2/3 so we should pick red.,1,4,2,1,2
4_2_3_1,I think we should choose the opposite to reach a consensus. 1/3 chance that our ball is the wong observation so lets pick blue,0,4,3,1,2
4_2_1_1,We picked a blue ball. As the possibility to observe the right color is 2/3 we should choose the color which was observed the most.,1,4,1,1,2
4_2_3_2,we should choose the opposite to reach a consensus and to have the chance to gain 2 euros,0,4,3,2,2
4_3_1_2,red maybe?,0,4,1,2,3
4_3_2_2,absolutly red this time I can feel it,0,4,2,2,3
4_3_2_1,I feel blue,0,4,2,1,3
4_3_1_1,blue?,0,4,1,1,3
4_4_2_2,"I would choose red, because if it really is red and every other team picks red we would be the ones to ruin it if it really is red, and if it really is blue there is a big chance that one of the other three teams that picked a blue ball will actually say blue",2,4,2,2,4
4_4_2_1,"I think it is obvious to choose red, because if the true color is blue, I m sure one of the teams will choose blue.",2,4,2,1,4
4_4_3_1,"I would choose red, because there is a huge possibility that it really is red and if we choose blue it won't matter what the other teams decide",2,4,3,1,4
4_4_1_1,"I think the obvious choice here is red, if the color of the urn is blue, probably someone in the other team will get blue and choose it and we will still have the correct answer",2,4,1,1,4
4_4_1_2,I think this is an obvious choice. Same argument as before.,2,4,1,2,4
4_5_2_1,the probability is 2/3 so it would make more sense to say red.. and this worked the last round for me,1,4,2,1,5
4_5_3_2,it's more probably that it's red,1,4,3,2,5
4_5_4_1,the probability is 2/3 so i would guess blue,1,4,4,1,5
4_5_1_1,most probably blue,1,4,1,1,5
4_5_1_2,because the probability is 2/3 it's more probable to be blue,1,4,1,2,5
4_5_2_2,the probability is 2/3 so choosing red would make sense,1,4,2,2,5
4_6_1_1,"Blue because probably our urn is blue, even though this would ruin the vote if the urn is red",1,4,1,1,6
4_6_3_2,"every ball has to be picked. If its a red urn, we can win, if its a blue urn, lets hope for the others to vote blue",2,4,3,2,6
4_6_4_2,"The probability for the blue urn is higher (66,67 %).",1,4,4,2,6
4_6_1_2,"Definitely red! if we got the wrong ball and the others choose blue, than we will still win.",2,4,1,2,6
4_6_3_1,"red, because even if its a blue urn someone has to pick the red ball.. what if its us?",2,4,3,1,6
4_6_2_2,"Same logic --> if red, we are right, if blue, we can still win",2,4,2,2,6
4_6_2_1,"Definitely red, if the majority of others pick a blue ball there will be at least one group that chooses blue  --> if red urn, we are right, if blue urn, we can still win",2,4,2,1,6
4_7_3_1,twice more likely to win with our ball color,1,4,3,1,7
4_7_4_1,maybe we always vote red to be safe. others can always vote blue.,2,4,4,1,7
4_7_4_2,"if you see red, say red. if you see blue think about to lie",2,4,4,2,7
4_7_3_2,voting our ball color is the best move to get the 2/3 chance to win,1,4,3,2,7
4_8_2_2,If its a red urn only one or two others will have blue aswell. So the probability is high that nobody does a wrong choice. if it s blue four others will have blue aswell and i do not believe that everybody has thoughts about how to prevent this. so lets vote red. if blue people will see,2,4,2,2,8
4_8_2_1,"So I see a high probability, that by 6 choices at least one or maybe two teams will have the wrong colour. Maybe its us. In what I do not believe is that all gonna have a thought about how to prevent this. Therefore I d choose red, no matter what. If there are 1 or 2 more who have blue balls its about them. If there are 3 or 4 more with blue its prabably a blue urn and not everyone will take red. So red!",2,4,2,1,8
4_8_1_2,Definetly let vote red! If its not a red urn it s enough to have one other vote of an other team. So that we all have red is not that ...,2,4,1,2,8
4_9_1_1,more likely to be blue,1,4,1,1,9
4_9_3_1,always opposite of what was picked,0,4,3,1,9
5_10_2_2,"Although the likely hood is less, there is still a chance the urn is blue",1,5,2,2,10
5_10_3_2,it actuallzy makes no difference so lets just go with red for lulz,0,5,3,2,10
5_10_2_1,the likely hood of the urn being red is 2/3,1,5,2,1,10
5_10_3_1,lets just choose red for the lolz,0,5,3,1,10
5_10_4_2,lol,0,5,4,2,10
5_11_4_1,"in general there 50:50 percent that the ball is trully red or blue. At least Two teams alwayes receives blue balls, and only one vote for a blue ball is enough. I suggest to vote for red",2,5,4,1,11
5_11_1_1,"We received a red ball, so it´s twice more likely that the urn is red than it is blue. We are interested in the correct guess to earn more money)",1,5,1,1,11
5_13_2_1,higher chance,1,5,2,1,13
5_13_1_2,it is more likely that we are in blue,1,5,1,2,13
5_13_4_1,"I suggest we vote red. There is a 50/50 chance that the urn is red, but we don't lose anything by choosing red. If the urn is red, and all other teams choose red, we win… if even one person chooses blue - the committee's decision is blue, so our decision won't make a difference.",2,5,4,1,13
5_13_4_2,"we have a blue ball, but even if the urn is blue, the committee doesen't loose anything from our decision to vote red as I wrote before.",2,5,4,2,13
5_13_2_2,"i'd choose blue because theres a higher chance. I tink at least one other team will vote for blue like all the time :D So if blue is correct, theres achance to get 200 anyway",1,5,2,2,13
5_13_3_1,"i think the  other teams will pick the blue urn because threres a higher chance , thats why I'd choose red",2,5,3,1,13
5_13_1_1,"there are two times more red balls, higher chance that this is the right urn",1,5,1,1,13
